id,name,SSN,date,loan_amt,amt_due,amt_paid,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
62,Kari Goodwin,539-287-175,08-07-2017,44000,58189,35744,03,46,0,2,60300.008,69409.25,0,752,40400,0,5.96,168344
63,Tara Hughes,596-673-238,04-06-2017,44200,58454,58454,01,35,1,3,54957.512,44483.109,1,645,58600,0,6.3099999,153562
64,Nettie Mccoy,248-411-481,06-02-2017,42500,56206,56206,02,33,0,1,42768.969,34508.75,0,606,47800,52400,6.7199998,216916
65,Leo Rose,347-315-917,04-05-2017,44200,58454,26952,02,28,1,3,55151.441,42240.074,3,588,35800,0,6.3499999,200218
66,Morris Phillips,807-726-764,06-05-2017,43000,56867,38698,03,29,1,3,48204.383,42333.969,0,709,59300,89500,6.5999999,214643
67,Cedric Ortiz,844-002-736,05-01-2017,43200,57131,57131,02,34,0,2,58719.426,45399.258,0,650,40300,233200,6.04,189531
68,Ricky Duncan,608-656-647,08-01-2017,40800,53957,20251,02,41,1,1,22003.158,31846.645,0,573,35200,0,6.0100002,190761
69,Shawn Bates,710-960-331,05-07-2017,43200,57131,57131,03,33,1,2,49762.523,70829.359,1,639,29900,18800,6.1799998,177532
70,Candice Warren,995-654-676,06-07-2017,42400,56073,56073,05,33,1,2,45098.574,47965.57,3,586,46200,0,6.6399999,164312
71,Dean Chandler,499-149-947,08-02-2017,42500,56206,56206,03,32,0,1,43646.09,13671.529,0,592,55800,81700,6.52,192078
72,Ruby Alvarado,439-642-190,05-03-2017,42300,55941,55941,02,36,0,2,39646.363,29591.373,0,601,37500,94600,6.3600001,181299
73,Terrell Hopkins,924-730-751,01-03-2017,45200,59776,38245,01,33,1,2,62668.617,69698.188,2,674,50800,151700,7.8499999,181931
74,Alberto Washington,814-088-588,03-07-2017,42500,56206,56206,04,37,1,2,44610.063,45961.988,2,588,51200,28100,7.0900002,164042
75,Tabitha Parsons,260-216-024,03-05-2017,45500,60173,32379,04,36,1,2,66791.164,94930.695,2,688,46800,0,7.0300002,165880
76,Colleen Francis,323-557-448,07-01-2017,46600,61628,17566,03,30,0,2,14288.566,6604.2017,0,488,49000,0,6.5900002,179168
77,Shelley Holland,165-627-810,02-07-2017,47200,62421,48374,05,42,1,2,72360.875,95327.391,1,763,54800,0,7.52,234238
78,Lucas Townsend,839-407-206,10-01-2017,42600,56338,27866,03,25,1,2,45169.27,37193.266,1,612,39200,0,6.1599998,217661
79,Betty King,728-318-715,04-03-2017,42800,56602,24509,02,36,0,2,26727.287,31437.113,0,612,24000,106400,6.4000001,220588
80,Shelia Becker,261-875-259,04-02-2017,42100,55677,29710,02,36,1,3,37305.223,49204.332,1,608,55900,29200,6.3099999,192503
81,Jacob Cross,434-762-118,05-04-2017,42300,55941,20006,02,32,1,2,29713.984,11936.547,0,512,46700,92700,6.1799998,165281
82,Bobby Gibson,696-237-883,05-03-2017,43400,57396,23753,05,31,0,2,53177.523,46501.973,0,567,43500,0,6.1199999,211560
83,Rhonda Schneider,639-973-402,08-06-2017,44100,58322,58322,02,32,0,2,59372.727,47978.008,0,673,40800,157500,6.3600001,192638
84,Marco Mckinney,798-226-913,08-04-2017,42800,56602,56602,03,38,1,2,48018.402,61360.473,2,670,49700,0,6.3499999,206752
85,Forrest Vargas,158-734-311,02-06-2017,42900,56735,28077,01,38,1,2,45877.762,27421.553,3,623,40100,0,7.5500002,208899
86,Frederick George,222-652-950,05-04-2017,45600,60305,60305,05,38,0,2,66750.336,65731.93,0,734,49700,0,6.3400002,184894
87,Terry Brown,636-173-839,05-03-2017,43100,56999,56999,05,40,0,2,52747.508,43686.41,0,640,48400,0,5.7600002,226110
88,Terri Houston,720-142-025,04-05-2017,42100,55677,28007,02,30,0,2,34756.945,38736.887,0,604,24300,58600,6.77,174255
89,Tamara Green,047-456-344,04-01-2017,44100,58322,37934,03,32,0,1,57010.859,64445.418,0,666,56300,0,6.4200001,178963
90,Raul Fernandez,668-687-675,02-02-2017,44200,58454,58454,03,41,1,2,55340.813,63563.191,2,690,33000,0,7.5799999,208664
91,Tricia Schultz,883-332-270,07-04-2017,43200,57131,28586,04,30,1,2,52228.711,78727.859,0,607,30700,0,6.5999999,178971
92,Gina Steele,901-807-661,05-03-2017,45300,59909,59909,04,32,1,2,75953.672,59422.855,3,661,39100,56500,6.48,210793
93,Natalie Buchanan,971-446-014,05-05-2017,45500,60173,60173,03,35,0,2,60217.477,49584.789,0,686,35200,0,6.2399998,158081
94,Ellen Cooper,375-274-325,06-01-2017,42500,56206,56206,03,37,1,1,15723.4,44218.367,3,546,30600,55200,6.5700002,171626
95,Catherine Santiago,484-539-989,04-03-2017,46100,60967,60967,03,39,0,2,71147.492,93019.656,0,709,55300,158300,6.6300001,184393
96,Gilbert Jennings,101-904-346,02-01-2017,54000,71414,14537,04,31,1,2,5188.2861,806.328,3,438,39900,22900,7.6100001,202646
97,Michele Stokes,963-654-510,03-01-2017,51800,68505,68505,05,32,1,2,88938.07,58630.852,3,695,57100,130200,6.8400002,161185
98,Elsa Singleton,751-394-194,03-07-2017,45300,59909,59909,05,28,0,2,64613.906,47130.258,0,644,56000,0,6.9099998,192451
99,Myrtle Garner,594-241-555,05-02-2017,51400,67976,15138,03,39,1,3,7852.2197,0,3,530,33300,33500,6.3400002,196183
100,Alvin Drake,450-792-537,07-01-2017,48600,64273,42524,04,30,0,2,87265.516,72112.359,0,704,38300,0,6.6900001,188174
101,Penny Morton,753-600-696,05-01-2017,48000,63479,63479,05,40,0,2,84174.945,82280.93,0,783,52400,80700,6.3200002,208731
102,Blake Mitchell,577-816-941,06-01-2017,53500,70753,22397,04,37,1,2,3006.5435,0,2,495,52300,22100,6.3000002,168832
103,Virginia Luna,762-304-618,06-03-2017,42400,56073,56073,01,33,0,3,40906.355,45794.828,0,587,32600,0,6.6999998,185516
104,Pedro Bradley,357-924-051,07-04-2017,45400,60041,60041,04,45,1,2,66378.164,85705.375,2,750,56600,112000,6.4699998,179256
105,Allison Grant,875-888-457,10-01-2017,42400,56073,56073,04,33,1,1,42958.219,32482.307,3,598,49300,0,6.29,167691
106,Rex Chambers,182-734-396,05-02-2017,41900,55412,55412,02,41,0,2,34090.938,41533.504,0,630,35700,45300,6.1900001,166804
107,Brian Gibbs,687-723-990,09-05-2017,41600,55015,23398,03,37,0,2,27513.186,18406.332,0,593,35700,91400,5.8099999,183052
108,Josefina Rowe,558-957-115,09-07-2017,43600,57660,29267,03,29,0,2,53482.938,30163.26,0,589,53000,25800,6.0500002,191983
109,Hugh Vargas,526-645-913,06-01-2017,42600,56338,19775,04,33,0,3,26469.236,20624.52,0,537,43500,0,6.6500001,190288
110,Frank Brewer,157-471-597,07-07-2017,42300,55941,55941,02,39,0,1,27754.701,43705.504,0,617,51000,28800,6.5,198178
111,Myra Mclaughlin,630-678-288,03-06-2017,42900,56735,17469,01,35,0,3,21165.789,30907.703,0,555,39600,98500,7.52,181956
112,Kerry Anderson,035-090-659,05-04-2017,66900,88475,35150,05,31,1,2,0,0,3,480,55700,237300,6.2199998,225180
113,Hilda Reynolds,835-699-885,06-07-2017,41900,55412,20259,05,32,1,2,38406.094,82560.016,2,545,37400,0,6.4299998,192355
114,Jean Vasquez,012-094-632,10-06-2017,45000,59512,59512,03,31,1,2,64009.477,51945.879,3,671,38400,73500,5.8299999,166293
115,Flora Massey,806-606-058,08-07-2017,43600,57660,19101,02,27,0,2,17193.564,5262.4912,0,509,42200,0,6.1900001,180999
116,Nellie Davidson,755-349-547,02-07-2017,43000,56867,39499,01,38,1,2,54741.488,44049.355,1,715,34200,30500,7.4000001,211565
117,Luis Evans,161-365-090,02-02-2017,54000,71414,71414,02,33,1,2,87673.078,72672.094,0,766,48000,19600,7.21,202516
118,Phyllis Fleming,670-747-394,02-04-2017,52000,68769,17670,05,31,1,2,4582.4531,7550.2256,2,516,48600,52800,7.52,209593
119,Kevin White,331-241-228,07-06-2017,42800,56602,36311,01,36,0,2,44736.387,60097.918,0,641,45600,0,6.6300001,203404
120,Rudy Young,207-973-853,07-06-2017,44900,59380,34876,01,37,1,2,61881.289,55596.527,2,710,47900,37400,6.9299998,190845
121,Rose Cross,159-847-276,03-05-2017,43900,58057,33975,05,31,0,2,58408.848,62133.309,0,666,42200,17700,6.9200001,195294
122,Eva Harrison,446-529-247,05-04-2017,57700,76308,76308,01,36,1,2,80644.625,70675.336,2,749,53700,130500,6.1599998,167184
123,Eric Scott,397-974-948,11-06-2017,42100,55677,27361,01,39,0,3,30020.967,19906.801,0,644,37400,0,6.23,188070
124,Rhonda Allison,715-885-291,06-01-2017,44400,58718,31843,04,32,0,3,65859.602,29050.068,0,628,52100,105500,6.6199999,195725
125,Bruce Miller,153-176-221,02-06-2017,41300,54619,25550,04,35,1,3,27393.021,19160.939,2,606,53200,0,7.4699998,216512
126,Caleb Hines,260-273-419,08-06-2017,42500,56206,28103,02,22,1,1,42336.977,43607.262,2,538,41600,98000,6.3299999,176935
127,Melvin Castillo,877-449-843,04-06-2017,46600,61628,61628,01,31,0,3,64550.129,51696.949,0,683,43800,0,6.6500001,194186
128,Levi Burton,251-636-936,06-01-2017,43400,57396,57396,03,41,1,2,50777.355,29821.965,0,709,35800,228800,6.4200001,209510
129,Sandra Beck,916-954-559,10-03-2017,46900,62025,62025,02,36,1,2,77321.633,87280.789,1,725,60000,59500,6.25,183370
130,Kristine Patrick,901-156-288,04-07-2017,43100,56999,30290,05,38,1,2,50829.23,28329.477,1,670,53100,0,6.6900001,207173
131,Randy Vaughn,697-708-053,08-06-2017,41700,55148,55148,05,29,0,3,98263.922,68564.18,0,731,54100,0,6.5700002,168050
132,Salvador Pope,991-086-420,08-05-2017,44300,58586,28834,02,45,1,2,57331.277,69348.336,1,737,57000,46200,6.4000001,205751
133,Guillermo Morris,290-280-657,08-01-2017,47600,62950,42975,01,37,1,2,77888.648,104192.95,1,744,56300,0,6.3200002,204945
134,Angel Stanley,736-581-831,02-06-2017,42200,55809,23517,04,39,0,2,40199.414,51543.828,0,644,38000,0,7.3899999,210474
135,Barbara Holland,466-994-311,10-05-2017,41600,55015,26933,05,30,1,2,20502.203,0,0,567,45600,31500,5.73,208660
136,Drew Lindsey,067-726-499,04-07-2017,42200,55809,18672,03,35,0,2,38837.074,41890.266,0,562,50400,0,6.3299999,179571
137,Glenda Todd,812-114-281,07-02-2017,42000,55544,34957,05,28,1,2,37097.387,68797.742,2,635,55700,77300,6.7199998,192523
138,Timothy Medina,775-581-759,07-02-2017,43300,57264,57264,04,29,0,2,87573.133,79346.125,0,658,60300,0,6.5100002,170626
139,Hannah Ward,474-940-637,06-01-2017,45300,59909,59909,01,37,1,3,84384.523,62213.086,1,763,42600,49700,6.8200002,199994
140,Diane Mason,687-364-451,06-02-2017,42700,56470,56470,04,36,0,2,46609.574,32222.496,0,623,39500,0,6.71,182445
141,Eula Love,624-936-068,05-03-2017,42000,55544,55544,02,43,1,2,27722.32,29142.443,2,591,39500,114400,5.98,179120
142,Tara Reese,075-283-614,07-06-2017,42600,56338,16532,02,33,0,3,18355.939,35272.742,0,493,47200,47000,6.5999999,171628
143,Loren Gibson,485-278-518,07-01-2017,42500,56206,56206,05,39,0,2,46696.23,30662.539,0,628,43200,78900,6.7199998,178438
144,Paula Dixon,057-675-890,02-03-2017,42200,55809,55809,05,30,1,2,42192.457,36924.262,2,581,37700,10400,7.75,187440
145,Jay Bell,121-098-695,08-07-2017,42100,55677,19806,02,51,0,2,37579.004,69206.773,0,673,33200,0,6.1399999,180496
146,Philip Higgins,743-414-487,09-01-2017,42800,56602,36982,02,30,0,2,75111.43,67224.305,0,641,49600,112300,5.9200001,193687
147,Christie Tate,941-739-561,04-05-2017,46900,62025,62025,02,39,0,2,78132.867,67148.5,0,751,61400,0,6.6300001,178101
148,Frankie Hogan,612-554-052,06-06-2017,43600,57660,33364,04,26,1,3,25685.443,13034.914,1,606,52000,0,6.46,183199
149,Vanessa Henderson,506-238-875,08-06-2017,43000,56867,30395,04,30,1,2,50312.82,46622.504,2,621,38600,0,6.3099999,178722
150,Jenna Hall,289-652-262,06-06-2017,45600,60305,48379,01,24,1,2,72846.82,64845.809,1,691,35300,99200,7.1199999,163674
151,Tracy Green,938-887-376,03-01-2017,47500,62818,62818,01,34,1,3,65901.414,103598.24,3,694,50600,43100,7.1199999,183715
152,Nichole Taylor,288-831-029,06-04-2017,42300,55941,55941,05,35,1,3,43689.859,48745.676,2,622,43600,0,7.0999999,198537
153,Delores Benson,047-217-793,08-05-2017,42500,56206,56206,01,34,1,2,41527.238,74381.125,0,613,37300,6800,6.75,138794
154,Robin Parsons,060-499-332,07-04-2017,43100,56999,56999,03,30,1,2,49380.52,62922.238,1,654,54500,108000,6.4400001,200244
155,Noel Bailey,011-997-956,06-05-2017,42600,56338,31333,04,41,0,2,46308.059,27837.92,0,673,35900,0,6.4200001,210774
156,Camille Reed,274-978-964,06-03-2017,45500,60173,60173,05,32,1,2,73846.766,50961.18,0,693,52600,0,6.6300001,197133
157,Judith Craig,633-186-998,06-06-2017,42900,56735,30272,03,34,0,2,48271.391,44438.301,0,645,52900,120000,7.0700002,188485
158,Franklin Curtis,213-708-874,09-03-2017,43500,57528,37282,04,32,0,2,57104.938,67590.57,0,657,49900,0,6.5900002,177497
159,Janet Welch,398-540-596,10-06-2017,49900,65992,65992,05,36,1,2,87305.313,84166.25,2,756,50300,78600,5.9000001,187915
160,Meredith Wilson,718-716-559,06-04-2017,42600,56338,37900,05,32,0,2,47714.516,49507.324,0,670,30300,122900,6.8600001,215013
161,Kristy Watson,356-293-607,06-06-2017,42400,56073,56073,03,36,0,2,31317.08,53188.047,0,627,25900,0,6.5500002,187826
162,Javier Ray,726-349-578,03-07-2017,47200,62421,34479,05,25,1,1,8732.7549,12254.401,0,504,35300,3100,6.8400002,187885
163,Alejandro West,148-411-387,05-02-2017,41700,55148,29886,01,31,0,2,32955.883,45718.133,0,602,26900,0,6.0799999,170995
164,Edna Collier,247-910-682,05-04-2017,42100,55677,55677,04,28,0,2,37921.359,44397.539,0,483,33400,159600,6.5500002,190149
165,Natasha Martinez,493-321-437,06-04-2017,48200,63744,63744,03,37,1,3,18568.242,51526.875,0,606,48600,185600,6.9299998,188174
166,Lynn Crawford,370-391-623,08-01-2017,42100,55677,13194,05,34,1,1,29577.348,29800.568,0,520,52600,89000,6.21,177245
167,Lionel Watts,170-013-058,05-03-2017,57200,75646,75646,03,36,0,3,0,313.97589,0,494,12200,0,6.4400001,160777
168,Wallace Webster,468-039-761,02-06-2017,42100,55677,55677,01,33,0,2,36501.871,49278.508,0,581,43700,0,7.2199998,194537
169,Yvette Schmidt,151-638-091,06-07-2017,45400,60041,60041,05,39,1,2,66728.656,83646.828,1,701,47600,0,6.6700001,182479
170,Darlene Riley,470-102-857,08-02-2017,49300,65199,65199,01,35,1,2,90272.273,103952.59,0,726,55000,66800,6.48,175289
171,Agnes Gray,146-438-181,08-05-2017,45100,59644,28537,05,43,0,2,21557.064,31176.516,0,592,43000,53600,6.1599998,190632
172,Salvatore Henry,427-274-795,05-04-2017,42300,55941,55941,04,35,1,1,26154.291,20391.127,1,595,50100,90400,6.3299999,186630
173,Nelson Moreno,264-184-517,07-07-2017,44200,58454,58454,02,29,1,2,61355.941,62714.816,1,676,36000,26500,6.7399998,179654
174,Kari Hammond,265-666-401,02-07-2017,47300,62554,62554,05,27,0,2,87281.328,62540.535,0,674,35900,26200,7.0100002,195733
175,Pam Pena,901-649-955,04-04-2017,46300,61231,61231,02,34,1,2,81800.469,66945.016,3,781,47600,0,6.1599998,209812
176,Kelvin Norman,376-144-180,07-02-2017,41500,54883,22921,02,33,0,2,30956.967,23846.838,0,567,31600,133000,6.5,188089
177,Amos Wells,824-481-822,05-05-2017,61100,80804,80804,05,35,1,1,0,29502.916,2,504,41900,0,5.9200001,186592
178,Jeffrey Wheeler,024-203-579,05-05-2017,43700,57793,17126,04,35,0,2,17858.648,29532.193,0,543,16800,0,6.0900002,205570
179,Ricky Gill,246-852-272,06-05-2017,48400,64008,64008,02,41,1,2,72835.016,83048.414,3,748,44900,0,6.6700001,183246
180,Tracy Nguyen,069-836-426,06-04-2017,42400,56073,56073,01,37,0,2,30158.469,28055.9,0,601,43200,52000,6.6399999,200442
181,Tiffany Fisher,069-478-978,06-01-2017,44200,58454,58454,01,32,1,2,18879.871,21063.813,0,478,35200,100900,6.5999999,166997
182,Eugene Mendez,742-059-260,03-02-2017,44500,58851,58851,01,36,1,3,56000.977,68335.555,1,582,38500,49000,7.1100001,176831
183,Kellie Austin,960-282-310,06-04-2017,48000,63479,27072,03,30,0,2,64752.059,65930.086,0,630,43600,0,6.9000001,208378
184,Belinda Houston,182-622-023,06-06-2017,48900,64670,64670,03,40,1,2,72539.57,57700.754,3,716,56300,0,6.8499999,195163
185,Jack Patterson,748-436-384,07-07-2017,44900,59380,43938,02,29,1,2,77255.086,57255.09,2,708,50200,0,6.7199998,163255
186,Orville Diaz,542-704-867,05-03-2017,42000,55544,55544,05,27,1,2,37277.449,32578.83,2,557,47400,24900,5.9699998,179828
187,Esther Cook,658-366-441,08-01-2017,43300,57264,26702,02,19,0,2,49192.133,58547.945,0,528,44700,600,6.4899998,193140
188,Noah Hernandez,459-942-273,07-01-2017,42500,56206,56206,05,37,0,2,45444.387,13461.838,0,628,52100,78500,6.4400001,194825
189,Luther Barnes,709-372-489,05-02-2017,42800,56602,27556,05,32,1,3,49178.773,56759.469,0,629,44400,184600,6.4699998,176026
190,Alberto Tucker,980-685-749,05-05-2017,42200,55809,55809,01,25,1,2,37762.129,58062.035,1,592,54600,0,6.3699999,179427
191,Tina Pierce,706-222-769,04-07-2017,45200,59776,59776,02,40,1,3,60877.91,74278.867,1,726,54900,5700,6.6100001,170102
192,Victor Perry,175-141-863,07-06-2017,43100,56999,32799,03,34,1,3,50819.105,44757.703,1,636,51600,0,6.6100001,172339
193,Katrina Abbott,914-344-575,03-04-2017,44600,58983,33822,01,52,1,2,59630.984,79615.516,0,773,46000,26500,6.8800001,172011
194,Harry Logan,371-261-459,07-06-2017,45900,60702,60702,02,42,1,2,68962.828,64134.926,0,755,46000,123700,6.2800002,203028
195,Ashley Hubbard,545-389-744,05-02-2017,47400,62686,62686,05,36,1,2,78741.383,78846.563,0,752,46200,0,6.3000002,206431
196,Alicia Watkins,431-777-332,03-01-2017,43000,56867,19038,01,38,1,3,18997.463,31413.416,2,551,52600,9200,7.0900002,185463
197,Shirley Frazier,960-893-600,06-03-2017,42500,56206,31196,04,29,0,3,45571.742,53570.965,0,625,32900,0,6.7199998,191561
198,Sonia Mcguire,648-259-093,07-03-2017,42400,56073,29460,05,36,0,2,45355.797,35530.633,0,633,24100,0,6.4699998,187312
199,Caroline Mckinney,793-512-027,06-03-2017,42500,56206,56206,03,39,1,2,44514.629,25237.496,2,641,50000,9900,6.5,218408
200,Marlon Gilbert,833-343-072,03-03-2017,43900,58057,27134,03,34,1,2,53806.012,63478.43,1,650,45500,0,6.9899998,167340
201,Shawn Norton,870-562-446,09-02-2017,52200,69034,22594,04,35,0,1,6314.7095,36171.68,0,501,25400,43300,6.1300001,200788
