id,name,SSN,date,loan_amt,amt_due,statecode,age,married,educ,W2inc_m1,W2inc_m2,taxdependent,creditscore,asset,debt,unemprate,avg_homeprice
268,Mamie Dawson,625-126-589,02-02-2018,41600,55015,05,30,0,2,25283.789,10375.115,0,521,41400,90100,7.6700001,191693
269,Jesse Oliver,929-903-611,06-05-2018,42000,55544,04,33,1,2,37460.125,27728.99,0,598,40100,0,6.7800002,175568
270,Connie Nelson,490-728-857,04-06-2018,45800,60570,04,41,0,3,103784.1,112190.63,0,855,52100,42800,6.6999998,177162
271,Nina Lamb,058-865-630,03-07-2018,42100,55677,04,32,1,2,31017.631,21599.66,2,574,40500,0,7.0900002,193023
272,Cameron Lawrence,754-147-678,06-02-2018,41900,55412,03,36,0,2,32100.613,27708.012,0,565,58800,0,6.8699999,194465
273,Ruben Hunt,530-664-184,05-02-2018,45100,59644,03,36,0,3,64056.34,75967.227,0,733,36100,17000,5.9499998,172976
274,Dewey Scott,912-769-756,03-05-2018,42300,55941,05,31,1,2,42881.727,67076.063,2,628,46100,46200,7.0300002,192287
275,Louise Rivera,661-000-719,05-03-2018,42800,56602,03,35,1,2,48082.953,52823.059,3,631,66000,0,6.48,186492
276,Toni Schultz,688-301-439,08-04-2018,42400,56073,04,35,1,3,43257.258,18303.484,1,599,46800,0,6.4400001,208513
277,Lawrence Thompson,952-936-224,06-02-2018,42100,55677,05,48,0,1,39950.309,56688.27,0,643,57600,12400,6.8200002,201332
278,Miranda Arnold,132-511-056,07-05-2018,43700,57793,03,35,1,2,54092.348,61400.043,3,677,54700,0,6.98,161075
279,Randy Douglas,589-404-145,08-06-2018,48900,64670,05,30,1,2,87483.781,95298.43,2,711,49100,0,6.3899999,228843
280,Bernice Peterson,393-685-940,04-02-2018,40900,54090,04,43,0,2,26154.357,2984.5408,0,600,36400,123900,6.3099999,176666
281,Angel Carr,619-280-563,06-06-2018,42700,56470,05,32,0,2,48516.75,27633.555,0,627,34900,0,6.79,205542
282,Glenn Kelley,933-947-664,05-05-2018,45900,60702,01,33,1,3,69177.844,60220.633,2,748,43600,0,5.6999998,201666
283,Misty Rogers,716-604-184,04-07-2018,45400,60041,05,32,1,1,63268.391,54604.41,2,671,46000,151900,6.6399999,212863
284,Michael Horton,674-227-731,06-04-2018,42100,55677,02,34,1,2,37056.293,46903.484,3,627,51600,0,6.8899999,182637
285,Sean Padilla,148-149-199,03-04-2018,41900,55412,04,37,0,1,29354.865,17444.643,0,581,35200,0,6.9699998,195512
286,Melanie Stevenson,906-695-026,06-05-2018,43200,57131,02,36,1,3,49068.738,54022.738,1,705,53500,0,6.7399998,188066
287,Nellie Haynes,039-925-047,04-02-2018,43300,57264,05,36,1,3,53952.387,60761.996,3,643,54500,11100,6.5999999,166630
288,Myra Torres,004-406-497,04-07-2018,47700,63083,05,44,1,1,11011.743,23262.014,2,531,45900,0,6.0799999,211373
289,Cedric Wilkerson,672-192-292,07-06-2018,42100,55677,03,35,0,3,37885.316,24791.012,0,593,29000,0,6.6700001,200049
290,Danny Gordon,887-488-741,07-06-2018,42300,55941,04,31,1,2,42264.664,45445.777,2,627,29400,0,6.5900002,234484
291,Danielle Goodman,927-085-455,05-07-2018,42700,56470,05,41,1,2,85624.711,78586.547,2,771,45300,0,6.0599999,207665
292,Elbert Goodwin,465-668-210,08-06-2018,44200,58454,02,24,0,2,53400.715,65536.273,0,647,53400,0,6.0999999,178587
293,Fred Neal,914-328-599,04-04-2018,45100,59644,02,33,0,2,60041.031,68771.258,0,640,59500,0,6.3099999,168397
294,Joyce Mcdaniel,265-793-690,05-02-2018,42300,55941,03,33,1,2,40765.902,37969.953,3,579,52100,62100,6.1799998,194868
295,Adam Leonard,021-607-357,06-02-2018,42200,55809,04,28,0,2,38977.148,35900.648,0,564,47700,0,6.7800002,175646
296,Ben Rhodes,358-449-424,05-01-2018,44100,58322,03,37,1,2,18363.863,14429.582,2,533,34200,22900,6.4400001,185304
297,Joanna Hicks,058-429-816,04-06-2018,46700,61760,01,28,0,2,67243.305,98414.773,0,682,52200,0,6.1900001,210640
298,Erica Burton,201-053-442,07-02-2018,42700,56470,01,39,0,3,28370.777,3483.4023,0,618,30400,162200,6.3499999,210821
299,Jermaine Wilkins,253-591-121,04-07-2018,47200,62421,04,26,1,1,78760.813,67484.852,3,668,30100,121500,6.73,192434
300,Kristina Coleman,484-568-132,04-04-2018,47300,62554,05,34,1,2,67380.367,43063.621,1,701,35100,0,6.25,188068
301,Lena Carter,758-018-449,05-06-2018,43900,58057,01,33,1,2,62719.117,50481.527,3,700,49200,279400,6.1100001,201017
302,Frank Santiago,399-078-218,07-07-2018,42100,55677,04,29,0,2,28774.973,28548.764,0,535,47800,0,6.6900001,174705
303,Kara Sandoval,045-835-071,08-01-2018,41300,54619,05,38,1,2,32853.781,30314.109,1,602,55800,38500,6.3400002,182414
304,Henrietta Nunez,572-907-649,07-07-2018,47000,62157,02,38,0,2,110499.23,133500.16,0,843,67800,123600,7.0100002,203080
305,Kevin Bass,420-901-304,03-06-2018,44200,58454,02,30,0,2,56422.137,62718.816,0,690,51400,0,7.0100002,183091
306,Elisa Carpenter,728-340-721,06-03-2018,44000,58189,03,23,0,2,59522.523,101127.42,0,597,35000,0,6.71,189509
307,Jackie Lawrence,808-043-677,01-05-2018,43300,57264,02,33,0,2,49569.352,39505.059,0,669,34700,0,7.5300002,185196
308,Marcus Myers,158-040-233,04-07-2018,42100,55677,03,32,0,2,31497.105,37205.414,0,582,56700,0,6.5300002,179867
309,Fred Castro,175-359-711,10-06-2018,41200,54486,01,40,0,2,23951.26,15868.915,0,605,33500,100800,5.79,193433
310,Julius Haynes,508-086-103,08-05-2018,43000,56867,05,34,1,2,50151.199,77198.234,2,617,47100,0,6.4200001,192416
311,Greg Hunt,917-023-744,06-02-2018,43600,57660,02,36,1,3,50817.273,51888.352,2,640,52900,52100,6.6799998,222570
312,Spencer Jensen,994-086-024,07-01-2018,47200,62421,03,48,0,2,5525.4497,27132.082,0,548,31600,0,6.4000001,183694
313,Jackie Johnston,851-652-149,08-02-2018,43200,57131,02,34,1,1,20055.807,21041.115,2,580,60700,225300,6.3200002,192327
314,Tiffany Mendez,717-620-441,06-03-2018,42400,56073,04,31,0,2,44082.441,56025.008,0,605,47900,0,6.5100002,190721
315,Santiago Mcgee,062-768-235,06-06-2018,47200,62421,05,35,0,2,66832.258,44481.859,0,704,59100,0,6.5,202400
316,Sam Mckenzie,919-185-976,05-06-2018,41500,54883,04,46,1,2,26388.795,31551.977,2,617,46300,77300,6,198282
317,Janice Kennedy,806-464-708,04-07-2018,42300,55941,01,35,1,2,39577.793,38795.961,1,634,38300,191500,6.29,183314
318,Bert Lloyd,783-044-741,06-02-2018,44600,58983,04,36,0,2,65045.492,41364.133,0,704,36400,0,6.3000002,194698
319,Fannie Dennis,842-583-039,04-02-2018,44900,59380,04,38,1,3,61042.145,59764.414,0,719,50800,24900,6.48,194764
320,Tony Meyer,517-430-852,08-02-2018,43800,57925,03,26,0,2,55372.309,47086.953,0,567,39600,0,6.1900001,206551
321,Mattie Paul,005-723-274,06-04-2018,42200,55809,05,34,0,2,39354.75,25931.627,0,649,50400,148800,6.7199998,198214
322,Traci Farmer,540-457-360,04-06-2018,42500,56206,04,34,0,1,45024.398,54201.074,0,723,47000,0,6.8000002,196884
323,Rosa Jenkins,997-346-177,01-03-2018,47300,62554,04,36,1,3,86351.898,90457.508,2,761,46200,181300,7.6500001,189012
324,Darin Love,969-151-453,02-01-2018,42600,56338,02,38,1,3,28792.947,32406.725,3,589,32000,0,7.4000001,181163
325,Priscilla Hudson,628-333-208,09-07-2018,45300,59909,05,30,1,1,10821.754,29046.539,2,538,29500,47500,5.75,156774
326,Miriam Richards,317-692-599,07-04-2018,42400,56073,03,33,1,1,42686.863,54227.219,0,574,54800,1700,6.4299998,205153
327,Eric Zou,504-939-903,07-07-2018,42100,55677,05,36,0,1,33615.332,38158.098,0,575,49200,0,6.54,182663
328,Jorge Gray,224-442-003,03-06-2018,42600,56338,03,32,1,2,45438.762,75963.18,0,601,59800,14800,7.0900002,182047
329,Leslie Robertson,876-171-884,08-05-2018,141600,187265,03,38,1,2,0,0,2,432,57700,220400,6.3400002,178105
330,Omar Thornton,724-086-853,07-05-2018,44400,58718,04,24,0,2,59482.465,61361.219,0,583,49300,0,6.7600002,196446
331,Kelli Gordon,006-534-509,09-05-2018,41900,55412,01,32,0,2,29437.869,61298.324,0,610,42700,0,6.04,194947
332,Gertrude Matthews,338-850-478,06-04-2018,43100,56999,04,35,1,2,49904.953,15489.035,1,634,41800,20300,6.6900001,216972
333,Bob Waters,579-511-083,04-02-2018,42100,55677,04,45,0,2,38532.063,57007.203,0,660,53000,90700,6.1399999,189165
334,Tracy Stephens,215-777-617,09-06-2018,43800,57925,02,32,1,2,66722.891,66857.633,0,695,47600,35900,5.9000001,184740
335,Corey Ortiz,065-536-707,06-02-2018,44700,59115,04,37,1,2,64811.707,70056.758,0,681,30100,0,6.1199999,195505
336,Carlton Anderson,664-793-390,04-02-2018,42600,56338,04,39,0,2,45955.375,60740.59,0,626,38800,0,6.25,200189
337,Dianna Schultz,171-128-131,06-07-2018,42800,56602,04,38,1,2,49553.805,36798.242,1,678,45300,0,6.6900001,187615
338,Paul Cole,552-620-384,07-07-2018,45500,60173,05,34,1,2,69775.477,77608.797,3,716,38300,0,6.79,192507
339,Floyd Marshall,032-661-779,05-03-2018,45800,60570,03,38,1,3,67425.93,57228.117,1,730,48000,81200,6.1100001,162587
340,Ignacio Rios,707-689-916,08-07-2018,45000,59512,02,40,0,2,67611.984,54757.531,0,757,47200,114500,6.1900001,204222
341,George Parsons,775-371-056,06-07-2018,43700,57793,02,35,0,2,57876.113,69141.211,0,674,52100,137700,6.96,192294
342,Denise Mendoza,221-265-891,06-05-2018,43000,56867,02,32,0,2,47998.441,34544.223,0,635,54100,122400,6.7600002,194045
343,Arturo Barrett,821-185-230,06-07-2018,41900,55412,03,33,1,2,32682.301,25842.246,0,589,45700,207500,6.8600001,207231
344,Sheryl Ruiz,486-220-739,08-01-2018,43000,56867,02,40,0,2,50717.441,40258.746,0,667,49100,65200,6.48,172536
345,Dave Spencer,933-752-607,06-07-2018,41700,55148,05,33,1,2,24875.475,53104.684,1,530,39000,0,6.77,213006
346,Angie Holt,125-434-870,07-04-2018,44000,58189,04,29,0,2,17714.879,23161.248,0,541,36900,800,6.6300001,230822
347,Jermaine Cobb,287-013-733,06-03-2018,43500,57528,03,25,1,2,65806.297,50552.016,1,643,40300,0,6.8099999,207122
348,Norma Chandler,394-221-188,07-02-2018,43400,57396,02,39,1,3,23456.443,22404.422,0,557,38900,0,6.21,179366
349,Gregg Newman,113-399-822,04-07-2018,42300,55941,04,38,1,1,34266.215,51002.434,0,634,57000,0,6.4499998,199629
350,Patricia Snyder,291-597-115,05-05-2018,45900,60702,05,30,1,2,15969.622,12330.103,2,575,46000,36500,6.3299999,166950
351,Wendy Harmon,513-819-035,06-07-2018,42300,55941,02,34,0,2,41442.324,17142.881,0,618,49800,125900,6.5500002,198459
352,Frederick Moss,537-518-756,05-05-2018,43000,56867,03,46,1,2,48581.465,37267.48,1,697,23800,0,6.5500002,193271
353,Claire Gilbert,472-561-976,04-04-2018,42200,55809,04,39,0,2,34240.254,41292.473,0,631,41100,80500,6.3699999,184184
354,Angelo Jefferson,310-021-029,02-07-2018,42500,56206,03,45,1,2,43968.949,36809.34,2,693,39400,173900,7.29,186518
355,Laura Webb,133-553-948,06-07-2018,42500,56206,02,36,1,1,24915.76,23654.35,1,581,49500,155900,6.8600001,222909
356,Helen Chapman,238-314-650,05-07-2018,45800,60570,01,37,0,2,80909.555,88535.023,0,741,52200,0,6.4899998,192734
357,Felicia Mullins,863-141-447,08-02-2018,42100,55677,03,36,0,2,37288.207,53345.598,0,623,25300,0,6.4000001,187606
358,Shirley Colon,506-620-822,07-01-2018,41800,55280,05,30,0,2,34837.676,42012.988,0,563,45400,0,7.0999999,167067
359,Tracey Simpson,378-384-421,08-04-2018,44700,59115,01,38,0,2,64157.07,64934.781,0,741,47000,5700,6.0100002,208506
360,Ismael Davis,494-596-951,06-05-2018,43300,57264,01,29,0,2,53062.906,27429.305,0,624,32700,114700,6.7199998,198185
361,Eleanor Washington,938-400-765,02-06-2018,47800,63215,03,39,1,3,79118.719,51689.973,0,749,42400,77900,7.3800001,184791
362,Tasha Howell,166-470-900,06-04-2018,42700,56470,02,39,1,3,44879.09,58140.266,1,640,32600,96400,6.9099998,205016
363,Conrad Gibbs,528-777-733,07-07-2018,42600,56338,04,33,0,2,25879.258,30162.258,0,564,45400,0,6.8699999,176093
364,Leroy Wood,750-108-609,02-05-2018,41800,55280,03,37,1,2,33747.621,31648.527,3,629,72000,181300,7.5799999,171807
365,Doreen Reeves,657-001-080,05-05-2018,46500,61496,05,30,1,2,75573.914,64024.688,2,767,36200,63100,6.21,174362
366,Betsy Walton,838-349-982,09-01-2018,42100,55677,04,23,1,2,31138.994,18740.139,0,466,40200,125700,5.7800002,180249
367,Martha Simon,776-994-840,05-02-2018,43000,56867,01,31,0,2,46987.305,43856.277,0,613,50600,0,6.2600002,191075
368,Homer Oliver,898-730-282,06-02-2018,54500,72076,02,37,1,3,85078.867,86217.422,1,733,52900,0,6.6999998,189210
369,Penny Patrick,731-386-314,06-03-2018,46000,60834,01,42,0,2,67215.898,61015.703,0,740,34100,0,6.6900001,195648
370,Virginia Fletcher,126-034-612,05-05-2018,42500,56206,01,25,0,2,30733.031,18459.072,0,518,36400,0,6.3000002,176247
371,Robert Larson,731-011-316,01-04-2018,43300,57264,05,35,0,2,60454.672,74579.391,0,681,38000,61900,7.6799998,200056
372,Joann Gomez,156-380-224,08-02-2018,42200,55809,04,36,1,2,40215.418,52709.297,0,620,51800,0,6.3600001,219707
373,Dwayne Flores,047-067-995,04-02-2018,41700,55148,01,41,1,2,23411.734,23151.621,1,570,45600,0,6.1500001,169708
374,Joyce Robbins,027-410-605,03-02-2018,43700,57793,02,39,1,3,58242.688,48689.211,3,719,37200,34100,7.2800002,204633
375,Keith Craig,769-154-109,05-06-2018,95200,125901,03,34,0,3,0,0,0,469,72300,0,6.0999999,204049
376,Marlon Perez,953-829-931,07-05-2018,44000,58189,05,31,0,2,20137.715,34932.121,0,509,48300,54100,6.3200002,204753
377,Phillip Harrington,566-768-751,03-07-2018,45400,60041,01,38,0,2,57357.5,66109.789,0,706,45800,11400,6.9499998,215800
378,Michele Schneider,947-912-820,02-06-2018,42900,56735,04,29,0,2,49510.793,41686.984,0,642,44800,78800,7.1900001,177438
379,Dustin Mack,183-575-904,05-01-2018,49200,65066,01,38,1,3,10936.592,44664.133,2,550,50000,0,6.4499998,202495
380,Elmer Poole,338-584-083,08-03-2018,44000,58189,02,37,1,2,55031.926,34475.594,0,672,37000,0,6.3200002,196567
381,Susie Wheeler,639-917-062,03-01-2018,42300,55941,04,39,1,2,28421.824,3383.6624,3,618,32200,0,7.4200001,175796
382,Karl Delgado,254-215-918,01-02-2018,42800,56602,04,31,1,3,48886.844,56175.445,2,606,54300,0,7.1799998,197131
383,Hope Rodriguez,780-064-507,02-01-2018,42100,55677,01,31,1,2,35851.977,53331.973,2,585,41800,0,7.1999998,184605
384,Sherri Wilkerson,644-226-653,02-04-2018,43900,58057,01,26,0,2,71234.406,78507.414,0,638,48300,0,7.6599998,161617
385,Terence Benson,211-968-337,08-04-2018,43900,58057,05,37,1,2,18058.93,2855.6223,3,548,50500,0,6.0900002,169676
386,Aaron Guzman,252-355-915,08-01-2018,45100,59644,04,32,0,2,65229.793,71654.273,0,635,54300,0,6.25,175934
387,Leonard Potter,597-614-802,03-05-2018,40600,53693,02,41,0,3,19775.482,30932.922,0,595,50700,0,6.9200001,206016
388,Erik Sanchez,250-452-678,06-02-2018,42100,55677,01,31,0,2,34727.043,36573.777,0,594,38700,0,6.5799999,208244
389,Perry Pope,824-753-345,05-05-2018,44000,58189,03,32,1,3,57167.359,45391.965,2,649,46000,0,6.1100001,178344
390,Orlando Conner,260-547-070,04-02-2018,41100,54354,05,38,1,2,9577.9971,16601.92,3,540,52200,25700,6.8299999,201722
391,Donna Watson,505-330-095,02-06-2018,41700,55148,05,30,0,2,31403.844,33686.195,0,576,32300,0,7.3000002,185064
392,Samantha Robinson,591-632-793,05-05-2018,44000,58189,04,35,1,2,58796.406,68763.102,3,661,34900,6900,5.6100001,193171
393,Carrie Drake,005-021-282,01-01-2018,42100,55677,02,31,1,2,28390.625,5785.4785,0,548,60500,98900,7.4499998,184871
394,Kathryn Willis,123-238-838,03-01-2018,43500,57528,02,37,1,2,14771.407,30703.641,1,542,43500,60200,7.21,193775
395,Malcolm Munoz,677-753-532,09-03-2018,43900,58057,04,31,0,2,60270.344,45637.699,0,636,55000,0,6.2199998,222409
396,Alton Armstrong,753-850-333,04-05-2018,44200,58454,05,32,1,2,70980.766,69714.773,0,654,44600,32600,6.0100002,196013
397,Elsie Harvey,667-334-754,07-03-2018,55900,73927,02,33,0,2,2339.2546,0,0,534,24600,0,6.5999999,194355
398,Peter Medina,200-929-499,04-01-2018,80500,106461,02,30,1,2,0,0,2,398,32700,193200,6.6500001,187313
399,Natasha Gibson,403-006-732,06-06-2018,43200,57131,01,26,0,2,49787.66,47470.363,0,618,48000,86800,6.7600002,200529
400,Russell Wolfe,411-677-771,04-05-2018,44100,58322,04,43,1,2,61541.25,57394.629,1,723,55600,65100,6.23,201141
401,Clark Shelton,895-813-372,07-04-2018,43400,57396,05,34,1,2,55492.949,68301.867,1,608,46900,78300,6.6700001,212449
402,Ricardo Lee,176-978-862,04-01-2018,45200,59776,03,36,1,2,61065.672,86388.508,3,692,44900,41700,6.1900001,201291
403,Shawna Gonzalez,084-052-398,02-03-2018,45600,60305,01,38,0,2,67986.695,60548.078,0,725,36300,0,7.23,180948
404,Sergio Porter,132-451-385,04-06-2018,44100,58322,05,27,0,2,17316.951,1185.8741,0,485,45400,50700,6.4200001,173607
405,Lyle Black,342-271-458,04-03-2018,42000,55544,02,32,1,3,36356.723,26679,3,568,59600,143300,6.6500001,216524
406,Gayle Wagner,634-945-771,05-01-2018,43600,57660,04,31,0,2,58641.207,95718.852,0,659,57200,177500,6.1300001,187363
407,Leroy Steele,874-380-152,04-06-2018,43000,56867,04,31,0,2,29669.064,16100.539,0,595,42900,79200,6.6100001,185791
408,Jaime Wolfe,366-954-098,07-01-2018,42600,56338,01,41,1,2,27496.082,50235.387,3,618,28900,0,6.4000001,188088
409,Marjorie Mendoza,606-633-812,06-02-2018,42300,55941,05,44,0,2,43726.328,62570.711,0,676,56900,0,6.8400002,205827
410,Faith Bennett,869-738-115,04-01-2018,42200,55809,03,39,0,1,38119.742,63481.68,0,633,41800,158800,6.4899998,192463
411,Nettie George,022-716-191,09-05-2018,42500,56206,02,36,1,2,43906.039,38965.84,1,618,50700,57000,5.73,194694
412,Taylor Gregory,050-628-750,03-06-2018,42700,56470,05,32,1,2,47802.191,52987.891,2,580,49300,117100,6.9499998,185085
413,Seth Chavez,104-692-566,04-01-2018,42400,56073,02,32,1,2,42100.164,44275.668,1,628,47700,0,5.9699998,177704
414,Zachary Meyer,230-023-065,07-01-2018,43600,57660,01,30,0,3,50790.695,51098.813,0,685,53300,0,6.2399998,188233
415,Joe Montgomery,648-808-807,02-02-2018,42500,56206,02,36,0,2,43067.027,53338.598,0,651,48400,108300,7.46,190314
416,Tricia Turner,221-699-847,07-07-2018,42200,55809,05,41,1,2,42462.074,51667.77,1,637,44500,50400,6.6700001,203532
417,Ben Jennings,792-537-824,03-03-2018,43400,57396,05,38,0,2,53885.344,67690.367,0,652,57900,0,7.21,175382
418,Gerardo Holloway,623-429-637,04-06-2018,44100,58322,01,42,0,2,60772.668,73922.148,0,714,55400,0,6.3699999,216820
419,Rosemarie Garner,786-484-586,07-06-2018,45300,59909,03,33,0,2,65434.254,72864.359,0,726,50800,0,6.2199998,166515
420,Warren Houston,811-357-382,05-01-2018,42100,55677,04,35,0,2,37489.16,46841.949,0,591,37100,0,6.2199998,191427
421,Fred Fisher,460-057-934,08-07-2018,154600,204458,02,32,1,3,0,0,1,440,20700,73500,6.21,177168
422,Troy Jones,084-412-575,05-02-2018,41800,55280,01,28,0,2,28590.67,49236.012,0,569,50300,0,6.2600002,188742
423,Shannon Castillo,356-276-853,03-06-2018,42100,55677,04,40,1,2,34684.754,43135.219,1,590,41700,142900,7.3400002,171260
424,Martin Adams,293-963-820,06-06-2018,43500,57528,05,34,1,2,53525.766,30746.832,0,634,40300,0,6.9899998,226878
425,Vivian Potter,363-797-269,03-05-2018,42200,55809,02,31,1,3,38398.672,41424.691,3,620,41500,191800,6.96,189987
426,Sandra Quinn,673-604-085,08-01-2018,42300,55941,04,31,0,2,41871.301,37866.246,0,627,56600,0,6.4000001,180144
427,Elsa Daniels,210-916-659,02-01-2018,44400,58718,01,34,0,2,56254.84,44177.555,0,683,63400,12000,7.4699998,208772
428,Luther Hines,162-348-909,09-06-2018,41500,54883,03,45,1,2,31609.172,22000.375,0,628,36400,0,5.9200001,222595
429,Sidney Jackson,393-949-325,07-05-2018,43900,58057,01,35,0,2,53012.832,53921.152,0,679,51100,30500,6.5599999,176673
430,Shawn Cobb,030-026-035,11-01-2018,46800,61892,05,37,0,2,66857.086,36132.297,0,735,43800,0,6.3099999,219443
431,Clara Jefferson,470-537-808,05-04-2018,44400,58718,01,38,1,2,55863.891,66844.531,2,698,42500,0,6.3600001,169239
432,Marta Holt,456-466-465,02-04-2018,45600,60305,02,23,1,3,61376.891,44815.637,2,607,50900,61300,7.23,184168
433,Herman Moss,244-346-213,08-01-2018,45400,60041,02,37,0,2,60691.07,68271.742,0,676,28000,9300,6.0500002,191946
434,Kristina Ortega,044-377-839,07-04-2018,42900,56735,04,39,0,3,31649.059,0,0,629,48800,52000,6.54,209047
435,Jackie Sharp,530-127-836,05-01-2018,47600,62950,03,33,1,2,83526.211,48478.473,1,715,68500,59400,6.4200001,216698
436,Johnny Caldwell,930-181-658,07-03-2018,42700,56470,04,27,0,2,31378.371,29684.938,0,574,43300,0,6.96,187750
437,Gabriel Fuller,401-708-453,07-06-2018,43000,56867,01,37,0,2,47791.016,71265.172,0,677,50100,0,6.6700001,164472
438,Courtney Bowen,368-009-347,05-01-2018,43400,57396,05,32,1,2,7322.0718,22802.902,3,516,29000,171600,6.1799998,170220
439,Rene Graves,685-636-730,03-06-2018,46300,61231,02,29,1,2,9119.2549,3771.5078,0,477,45900,0,7.1199999,171607
440,Cary Yates,962-054-962,05-05-2018,42400,56073,03,31,1,3,42339.418,4352.5508,3,611,39200,0,6.3600001,179563
441,Kirk Patterson,982-976-926,05-01-2018,43200,57131,03,40,0,2,28518.559,42244.895,0,608,35400,0,6.1999998,171479
442,Frankie Graham,310-905-884,06-04-2018,41400,54751,04,25,0,2,23354.445,4409.519,0,466,50700,0,6.6300001,183988
443,Maria Duncan,841-866-058,06-01-2018,41400,54751,05,39,0,2,31757.307,31294.941,0,638,49000,65500,6.5900002,160554
444,Marlene Bryan,585-942-187,04-04-2018,42000,55544,02,27,0,2,30537.74,20397.586,0,555,35200,139600,5.9099998,172146
445,Bryant Craig,514-325-905,05-01-2018,47100,62289,05,32,1,2,90863.656,102542.1,1,747,58300,0,6.2399998,186998
446,Lorraine Dawson,284-279-034,02-05-2018,43400,57396,05,32,1,2,53742.734,62588.641,0,662,39900,0,7.4200001,232435
447,Brenda Moore,053-754-163,03-03-2018,50500,66786,05,24,0,2,80964.758,73517.016,0,622,47800,0,7.4000001,186392
448,Lucia Payne,578-654-018,07-03-2018,45400,60041,03,33,0,2,73541.852,43127.02,0,714,41900,48800,6.21,203305
449,Naomi Young,637-234-834,05-03-2018,46800,61892,04,35,0,2,76697.156,53803.57,0,773,35700,89100,6.1100001,178094
450,Agnes Stokes,108-273-668,04-04-2018,43600,57660,01,27,0,2,50914.586,42052.566,0,623,46500,178600,6.3000002,199776
451,Jesus Walker,667-531-978,07-01-2018,42400,56073,01,29,0,2,40645.418,37875.648,0,557,39600,23500,6.73,190057
452,Tracey Stephens,661-569-885,05-02-2018,41600,55015,03,49,0,2,31495.295,34461.871,0,666,38100,56000,6.29,161602
453,Amy Mills,432-709-499,04-06-2018,43000,56867,01,36,0,2,21027.363,23342.154,0,541,24000,0,6.6599998,212536
454,Saul Spencer,326-591-410,07-01-2018,42300,55941,02,38,1,2,30168.701,17537.459,1,573,39400,0,6.5700002,192444
455,Isaac Colon,858-025-969,07-02-2018,65100,86094,02,41,0,3,0,13881.872,0,463,41300,71300,6.54,219135
456,Lauren Robbins,362-266-734,07-07-2018,47000,62157,04,31,0,2,73593.586,72967.047,0,670,38300,138500,6.73,203815
457,Conrad Munoz,658-294-488,06-01-2018,53200,70356,03,32,0,2,3871.0649,0,0,555,27900,0,6.7800002,207198
458,Rosie Sherman,692-234-671,06-04-2018,41700,55148,05,30,1,2,32617.986,33900.164,3,557,50800,0,6.3899999,212103
459,Maggie Wallace,870-602-644,06-04-2018,41800,55280,01,27,1,2,27158.242,49304.383,2,574,46400,0,7.0700002,167020
460,Shane Jacobs,952-844-552,06-07-2018,42300,55941,05,43,0,2,32917.059,49540.164,0,632,59800,82800,6.52,181501
461,Kate Larson,464-933-956,02-06-2018,43000,56867,04,38,1,2,49481.254,40151.871,0,660,44400,0,7.5599999,180986
